title,price,location,surface,rooms,baths,link
Appartement R+2 bien ensoleillé,370000,"Appartements dans El Jadida, Autre secteur",,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_R_2_bien_ensoleill%C3%A9_56760810.htm
Appartement à Bouznika,10,"Appartements dans Bouznika, Autre secteur",65 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_Bouznika_57839490.htm
Appartement à vendre 71 m² à Bouznika,600000,"Appartements dans Bouznika, Autre secteur",71 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_71_m%C2%B2_%C3%A0_Bouznika_56368488.htm
À vendre un joli appartement meublé avec piscine,1250000,"Appartements dans El Mansouria, Toute la ville",92 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/el_mansouria/appartements/%C3%80_vendre_un_joli_appartement_meubl%C3%A9_avec_piscine_56846634.htm
Appartement à vendre 134 m² à Tanger,2546000,"Appartements dans Tanger, De La Plage",134 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/de_la_plage/appartements/Appartement_%C3%A0_vendre_134_m%C2%B2_%C3%A0_Tanger_56300463.htm
Appartement à vendre 85 m² à Oujda,3700000,"Appartements dans Oujda, Centre Ville",appartement à vendre 85 m² à oujda,2 chambres,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Oujda_54489101.htm
Appartement à vendre 100 m² à Oujda hay ziton,440000,"Appartements dans Oujda, Hay zitoune",appartement à vendre 100 m² à oujda hay ziton,3 chambres,1 sdb,https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Oujda_hay_ziton_54393530.htm
Appartement à vendre 85 m² à Oujda,380000,"Appartements dans Oujda, Centre Ville",appartement à vendre 85 m² à oujda,2 chambres,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Oujda_54663434.htm
Aptmts neuf à hay riyad,3400000,"Appartements dans Rabat, Hay Riad",120 m²,3 chambres,1 sdb,https://www.avito.ma/fr/hay_riad/appartements/Aptmts_neuf_%C3%A0_hay_riyad_57457147.htm
Appartement à vendre 80m2 à Saïdia,590000,"Appartements dans Saidia, Toute la ville",80 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/saidia/appartements/Appartement_%C3%A0_vendre_80m2_%C3%A0_Sa%C3%AFdia_57839472.htm
Appartement neuf à vendre 72m² aux princesses,1600000,"Appartements dans Casablanca, Les Princesses",appartement neuf à vendre 72m² aux princesses,2 chambres,2 sdbs,https://www.avito.ma/fr/les_princesses/appartements/Appartement_neuf_%C3%A0_vendre_72m%C2%B2_aux_princesses_57290444.htm
Appartement à vendre 80 m² à Oujda,270000,"Appartements dans Oujda, Agdal",appartement à vendre 80 m² à oujda,3 chambres,1 sdb,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_57600721.htm
Appartement à vendre 95 m² à Marrakech palmeraie,1500000,"Appartements dans Marrakech, Palmeraie",95 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/palmeraie/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_palmeraie_57216492.htm
